iter,ep_rew,ep_len,success,collisions,pi_loss,v_loss,entropy,approx_kl,clip_frac,sec
1,-558.41,600.0,0.00,0.0,-0.0011,134.0843,-0.1539,0.0025,0.003,24
2,-612.54,600.0,0.00,0.0,-0.0006,183.7982,-0.1551,0.0011,0.000,40
3,-457.46,600.0,0.00,0.0,-0.0003,20.2266,-0.1610,0.0001,0.000,46
4,-429.92,600.0,0.00,0.0,-0.0003,59.9209,-0.1636,0.0002,0.000,54
5,-409.80,600.0,0.00,0.0,-0.0008,40.6420,-0.1635,0.0005,0.000,60
6,-392.86,600.0,0.00,0.0,-0.0015,31.0625,-0.1573,0.0038,0.016,73
7,-369.50,600.0,0.00,0.0,-0.0009,17.1788,-0.1564,0.0005,0.001,90
8,-348.86,600.0,0.00,0.0,-0.0021,17.7902,-0.1580,0.0017,0.004,108
9,-330.01,600.0,0.00,0.0,-0.0035,7.4460,-0.1591,0.0039,0.022,126
10,-309.96,600.0,0.00,0.0,-0.0039,5.9784,-0.1652,0.0049,0.022,144
11,-289.99,586.3,0.00,0.0,-0.0030,6.1129,-0.1778,0.0034,0.014,200
12,-277.58,587.3,0.00,0.0,-0.0031,2.1741,-0.1858,0.0054,0.026,216
13,-262.06,588.5,0.00,0.0,-0.0033,1.6468,-0.1912,0.0047,0.023,235
14,-252.06,589.2,0.00,0.0,-0.0052,1.1785,-0.1951,0.0059,0.030,256
15,-239.63,590.0,0.00,0.0,-0.0032,0.7164,-0.2080,0.0041,0.013,277
16,-230.45,590.6,0.00,0.0,-0.0029,0.5021,-0.2296,0.0072,0.036,295
17,-218.82,589.2,0.02,0.0,-0.0011,3.5253,-0.2303,0.0029,0.008,314
18,-211.68,589.7,0.02,0.0,-0.0025,0.2850,-0.2406,0.0048,0.023,331
19,-205.32,590.2,0.02,0.0,-0.0034,0.5373,-0.2436,0.0066,0.029,349
20,-197.19,590.8,0.01,0.0,-0.0030,0.2498,-0.2620,0.0059,0.038,367
21,-188.03,583.3,0.04,5.8,-0.0006,6.8514,-0.2638,0.0057,0.021,418
22,-181.36,584.2,0.04,5.5,-0.0031,0.2360,-0.2857,0.0059,0.027,439
23,-176.71,584.8,0.04,5.3,-0.0023,0.1663,-0.2908,0.0095,0.044,457
24,-170.25,582.6,0.05,5.0,0.0003,3.5354,-0.3171,0.0134,0.086,476
25,-165.83,582.3,0.06,4.9,-0.0014,3.1323,-0.3089,0.0070,0.030,494
26,-45.64,578.7,0.33,0.0,-0.0015,3.3671,-0.3124,0.0072,0.032,26
27,-38.54,564.3,0.43,0.0,-0.0004,5.9476,-0.3331,0.0017,0.003,44
28,-37.61,554.6,0.36,0.0,-0.0013,3.3949,-0.3325,0.0059,0.030,61
29,-31.36,522.9,0.47,0.0,-0.0009,8.9834,-0.3302,0.0073,0.044,79
30,-28.78,511.9,0.53,0.0,-0.0004,8.9535,-0.3391,0.0060,0.029,99
31,-82.35,511.7,0.58,19.8,-0.0005,363.0051,-0.3572,0.0057,0.021,150
32,-98.83,519.7,0.56,22.8,-0.0002,90.5703,-0.3378,0.0019,0.001,170
33,-88.09,516.3,0.58,19.8,-0.0005,8.9818,-0.3409,0.0021,0.006,192
34,-90.77,521.6,0.54,19.6,-0.0008,46.0857,-0.3415,0.0022,0.011,213
35,-111.20,527.8,0.50,23.6,0.0003,479.1568,-0.3269,0.0074,0.039,369
36,-144.64,528.3,0.50,31.1,0.0019,109.9836,-0.3223,0.0094,0.067,380
37,-166.36,526.8,0.52,36.2,-0.0015,338.8718,-0.3492,0.0020,0.011,389
38,-155.86,527.7,0.52,33.3,-0.0009,5.3725,-0.3329,0.0079,0.043,397
39,-146.47,528.7,0.52,30.9,0.0003,6.1794,-0.3338,0.0054,0.031,406
40,-137.94,528.2,0.53,28.7,-0.0016,8.8728,-0.3386,0.0104,0.041,414
41,-157.48,523.6,0.53,37.3,-0.0013,454.5668,-0.3548,0.0035,0.013,434
42,-179.96,523.6,0.55,42.4,0.0010,467.2153,-0.3391,0.0071,0.051,442
43,-171.18,521.0,0.54,40.0,-0.0019,5.2033,-0.3444,0.0083,0.033,450
44,-165.32,521.3,0.54,38.2,-0.0007,16.8133,-0.3885,0.0044,0.016,458
45,-191.15,519.7,0.54,44.1,-0.0002,705.7799,-0.3653,0.0014,0.001,467
46,-182.38,517.1,0.57,42.0,-0.0008,40.6778,-0.3884,0.0007,0.000,475
47,-181.58,514.1,0.57,41.8,-0.0002,164.7388,-0.3865,0.0006,0.001,483
48,-28.22,531.3,0.33,0.0,-0.0005,20.1940,-0.3918,0.0021,0.005,11
49,-43.45,491.5,0.62,6.1,-0.0002,11.1966,-0.3701,0.0008,0.002,20
50,-89.08,507.8,0.58,15.8,-0.0006,122.0650,-0.3708,0.0015,0.003,28
51,-102.79,494.4,0.56,37.7,-0.0006,105.4707,-0.3717,0.0045,0.012,45
52,-112.56,487.2,0.67,36.7,-0.0003,111.7384,-0.3616,0.0004,0.000,53
53,-96.38,481.0,0.68,30.8,-0.0008,36.6697,-0.3698,0.0044,0.022,62
54,-90.86,478.7,0.69,28.0,-0.0007,8.4549,-0.3741,0.0027,0.011,70
55,-121.33,480.5,0.71,33.8,-0.0007,321.0227,-0.3502,0.0029,0.013,78
56,-115.40,484.4,0.73,31.6,-0.0006,19.0058,-0.3665,0.0024,0.011,86
57,-124.80,485.3,0.71,32.8,-0.0008,214.2460,-0.3596,0.0037,0.005,95
58,-116.32,486.3,0.70,29.9,-0.0007,6.0130,-0.3583,0.0038,0.022,104
