iter,ep_rew,ep_len,success,collisions,pi_loss,v_loss,entropy,approx_kl,clip_frac,sec
1,-560.01,600.0,0.00,0.0,-0.0018,134.9688,-0.1545,0.0046,0.011,14
2,-513.38,600.0,0.00,0.2,-0.0020,92.6299,-0.1578,0.0031,0.012,26
3,-447.32,600.0,0.00,10.0,-0.0016,129.7018,-0.1605,0.0048,0.022,47
4,-423.21,600.0,0.00,7.7,-0.0035,40.4784,-0.1669,0.0055,0.024,79
5,-382.49,600.0,0.00,5.9,-0.0026,19.2443,-0.1775,0.0040,0.016,109
6,-353.76,600.0,0.00,5.0,-0.0045,14.5800,-0.1871,0.0069,0.030,142
7,-327.53,600.0,0.00,4.3,-0.0035,30.9180,-0.2044,0.0059,0.024,172
8,-304.05,600.0,0.00,5.2,-0.0049,4.5990,-0.2173,0.0074,0.034,203
9,-316.88,600.0,0.00,12.7,-0.0022,241.9581,-0.2252,0.0053,0.022,233
10,-297.71,600.0,0.00,12.6,-0.0023,25.7802,-0.2338,0.0038,0.011,263
11,-274.90,586.3,0.00,13.9,-0.0043,2.2073,-0.2433,0.0076,0.040,321
12,-277.32,587.3,0.00,17.1,-0.0022,96.6133,-0.2568,0.0038,0.019,351
13,-266.11,588.5,0.00,17.0,-0.0024,19.7961,-0.2451,0.0059,0.028,379
14,-255.53,589.2,0.00,16.0,-0.0045,1.2537,-0.2520,0.0078,0.036,391
15,-243.42,590.0,0.00,15.0,-0.0031,5.0889,-0.2747,0.0093,0.040,403
16,-236.56,590.6,0.00,14.7,-0.0032,14.8501,-0.2863,0.0071,0.038,415
17,-228.52,591.1,0.00,13.9,-0.0054,0.5317,-0.3067,0.0088,0.043,426
18,-217.41,590.2,0.02,13.0,-0.0040,3.2092,-0.3343,0.0128,0.070,437
19,-213.94,590.6,0.02,13.4,-0.0011,136.2682,-0.3649,0.0044,0.011,446
20,-225.72,591.2,0.01,17.8,-0.0016,122.1346,-0.3304,0.0050,0.018,456
21,-227.43,585.8,0.01,18.9,-0.0019,106.7110,-0.3357,0.0051,0.017,480
22,-370.99,600.0,0.00,75.0,-0.0013,119.0703,-0.3405,0.0039,0.009,32
23,-228.80,598.2,0.17,41.5,-0.0002,93.7560,-0.3337,0.0006,0.000,61
24,-259.74,598.9,0.10,48.1,-0.0010,34.8448,-0.3322,0.0052,0.028,91
25,-213.97,599.2,0.08,37.0,-0.0016,0.3133,-0.3278,0.0053,0.013,111
26,-181.75,599.4,0.06,29.1,-0.0009,4.8081,-0.3418,0.0037,0.010,121
27,-197.24,599.5,0.05,33.1,-0.0012,157.9193,-0.3372,0.0027,0.015,131
28,-179.29,599.5,0.04,28.8,-0.0005,11.6175,-0.3305,0.0039,0.011,141
29,-166.77,599.6,0.04,25.6,-0.0012,0.2748,-0.3354,0.0009,0.003,150
30,-162.15,599.6,0.03,24.5,-0.0006,16.2419,-0.3426,0.0030,0.010,160
31,-161.14,595.1,0.03,24.9,-0.0007,41.5859,-0.3512,0.0034,0.018,183
32,-202.70,595.5,0.03,34.9,-0.0005,425.0829,-0.4057,0.0065,0.034,193
33,-189.07,595.3,0.05,31.8,-0.0005,3.0824,-0.3589,0.0030,0.011,203
34,-187.82,595.0,0.07,31.7,-0.0002,36.6011,-0.3507,0.0041,0.016,213
35,-183.71,595.4,0.06,30.7,-0.0023,40.4986,-0.3589,0.0056,0.024,222
36,-176.56,595.7,0.06,28.9,-0.0026,0.1832,-0.3566,0.0107,0.070,232
37,-170.15,595.9,0.06,27.3,-0.0035,0.1969,-0.3622,0.0071,0.031,241
38,-161.08,592.6,0.07,25.4,-0.0014,3.5863,-0.3796,0.0052,0.037,250
39,-172.23,593.0,0.06,28.3,0.0003,217.3551,-0.4088,0.0059,0.027,260
40,-176.50,593.4,0.06,29.4,0.0007,121.2013,-0.3980,0.0090,0.055,270
41,-177.05,590.0,0.06,29.0,-0.0010,31.6343,-0.3934,0.0056,0.027,293
